       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
          1 27 May 2025 12:12:04     -0.212    11.9586   0.612590    -0.0296 2.2277e+03    341.584    101.415     -0.210     0.4025    -0.1810    1455.37 0.0000e+00
          2 27 May 2025 12:12:04     -0.211    11.9577   0.599039     0.2127 2.2939e+03    341.851    101.471     -0.209     0.3933    -0.1881    1455.35 0.0000e+00
          3 27 May 2025 12:12:05     -0.211    11.9566   0.584833     0.2127 2.3921e+03    341.916    101.468     -0.209     0.3836    -0.1956    1455.34 0.0000e+00
          4 27 May 2025 12:12:05     -0.210    11.9554   0.570989     0.0238 2.4961e+03    341.915    101.451     -0.208     0.3743    -0.2028    1455.32 0.0000e+00
          5 27 May 2025 12:12:05     -0.210    11.9543   0.556902     0.0429 2.5838e+03    341.933    101.444     -0.208     0.3647    -0.2101    1455.30 0.0000e+00
          6 27 May 2025 12:12:05     -0.209    11.9537   0.542210     1.3457 2.6426e+03    341.970    101.436     -0.207     0.3548    -0.2178    1455.29 0.0000e+00
          7 27 May 2025 12:12:05     -0.209    11.9535   0.527378     1.3495 2.6507e+03    342.056    101.434     -0.207     0.3447    -0.2256    1455.28 0.0000e+00
          8 27 May 2025 12:12:05     -0.208    11.9531   0.512588   123.8298 2.6652e+03    341.979    101.380     -0.206     0.3347    -0.2334    1455.26 0.0000e+00
          9 27 May 2025 12:12:06     -0.208    11.9518   0.497923   123.8317 2.6663e+03    342.180    101.414     -0.206     0.3248    -0.2410    1455.24 0.0000e+00
         10 27 May 2025 12:12:06     -0.208    11.9493   0.484487     3.8310 2.6099e+03    342.327    101.446     -0.206     0.3158    -0.2477    1455.22 0.0000e+00
         11 27 May 2025 12:12:06     -0.207    11.9456   0.473728     3.8252 2.6196e+03    342.285    101.431     -0.205     0.3086    -0.2529    1455.20 0.0000e+00
         12 27 May 2025 12:12:06     -0.207    11.9409   0.465806   123.8394 2.5872e+03    342.257    101.429     -0.205     0.3033    -0.2565    1455.18 0.0000e+00
         13 27 May 2025 12:12:06     -0.206    11.9359   0.459979   123.8394 2.5928e+03    342.203    101.417     -0.204     0.2994    -0.2590    1455.15 0.0000e+00
         14 27 May 2025 12:12:08     -0.206    11.9313   0.455479     0.0315 2.5951e+03    342.207    101.417     -0.204     0.2965    -0.2608    1455.13 0.0000e+00
         15 27 May 2025 12:12:08     -0.205    11.9273   0.451733     0.0181 2.6224e+03    342.175    101.405     -0.203     0.2940    -0.2623    1455.11 0.0000e+00
         16 27 May 2025 12:12:08     -0.204    11.9239   0.448496     0.7963 2.6483e+03    341.252    101.435     -0.202     0.2918    -0.2636    1455.10 0.0000e+00
         17 27 May 2025 12:12:08     -0.204    11.9207   0.445608     0.8059 2.6535e+03    319.216    101.380     -0.202     0.2899    -0.2647    1455.08 0.0000e+00
         18 27 May 2025 12:12:08     -0.203    11.9170   0.443062     2.1983 2.6541e+03    303.584    101.382     -0.201     0.2882    -0.2656    1455.07 0.0000e+00
