       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        230 27 May 2025 12:13:01      1.009    12.2339  30.604801     2.5579 9.8038e+02    249.886     87.855      1.000    25.8435    19.4491    1486.74 0.0000e+00
        371 27 May 2025 12:13:36      2.018    12.0959  31.507475     3.2634 6.0230e+02    281.283     99.727      2.000    26.7839    20.2008    1487.39 0.0000e+00
        379 27 May 2025 12:13:38      3.028    11.9870  32.543936     3.0128 4.0741e+02    280.937     99.708      3.000    27.8398    21.0375    1488.29 0.0000e+00
        387 27 May 2025 12:13:41      4.037    11.9538  32.985662     3.4591 2.3854e+02    280.083     99.449      4.000    28.2831    21.3868    1488.72 0.0000e+00
        394 27 May 2025 12:13:42      5.046    11.9333  33.235035     2.7816 1.6627e+02    278.052     98.822      5.000    28.5352    21.5858    1488.96 0.0000e+00
        402 27 May 2025 12:13:44      6.055    11.9233  33.392038     2.4849 1.3643e+02    277.144     98.517      6.000    28.6918    21.7090    1489.13 0.0000e+00
        409 27 May 2025 12:13:46      7.064    11.9134  33.532826     2.3201 9.8551e+01    277.612     98.685      7.000    28.8331    21.8203    1489.28 0.0000e+00
        417 27 May 2025 12:13:48      8.074    11.8990  33.664703     2.1903 6.5658e+01    277.854     98.772      8.000    28.9695    21.9286    1489.41 0.0000e+00
        425 27 May 2025 12:13:50      9.083    11.8950  33.682798     2.1967 4.9074e+01    278.062     98.906      9.000    28.9895    21.9448    1489.44 0.0000e+00
        433 27 May 2025 12:13:52     10.092    11.8864  33.715485     2.2954 3.6904e+01    278.251     99.072     10.000    29.0269    21.9754    1489.47 0.0000e+00
        442 27 May 2025 12:13:54     11.101    11.8724  33.829577     2.4434 2.6538e+01    278.343     99.204     11.000    29.1464    22.0705    1489.58 0.0000e+00
        450 27 May 2025 12:13:56     12.110    11.8544  34.031152     2.3245 1.8604e+01    277.927     99.115     12.000    29.3527    22.2336    1489.78 0.0000e+00
        458 27 May 2025 12:13:58     13.120    11.8541  34.189738     1.9883 1.3858e+01    278.659     99.388     13.000    29.5042    22.3512    1489.97 0.0000e+00
        465 27 May 2025 12:14:00     14.129    11.8352  34.370330     1.8132 1.0427e+01    278.704     99.467     14.000    29.6917    22.5000    1490.15 0.0000e+00
        473 27 May 2025 12:14:02     15.138    11.8196  34.438041     1.8093 7.5613e+00    279.559     99.822     15.000    29.7687    22.5625    1490.20 0.0000e+00
        480 27 May 2025 12:14:04     16.148    11.8042  34.538800     1.8813 5.4541e+00    279.458     99.781     16.000    29.8773    22.6495    1490.30 0.0000e+00
        488 27 May 2025 12:14:06     17.157    11.8134  34.635616     1.8687 4.0772e+00    279.353     99.742     17.000    29.9624    22.7139    1490.45 0.0000e+00
        496 27 May 2025 12:14:08     18.166    11.8125  34.648030     1.7748 3.3766e+00    279.636     99.850     18.000    29.9746    22.7235    1490.47 0.0000e+00
        504 27 May 2025 12:14:10     19.175    11.8113  34.647487     1.7893 2.6511e+00    279.102     99.746     19.000    29.9747    22.7238    1490.49 0.0000e+00
        512 27 May 2025 12:14:12     20.185    11.8099  34.659080     1.9494 1.9889e+00    280.310    100.310     20.000    29.9865    22.7332    1490.51 0.0000e+00
        520 27 May 2025 12:14:14     21.194    11.8218  34.733138     1.8561 1.4024e+00    281.147    100.716     21.000    30.0476    22.7786    1490.64 0.0000e+00
        528 27 May 2025 12:14:16     22.203    11.8483  34.858366     1.8909 1.0356e+00    280.859    100.515     22.000    30.1460    22.8501    1490.87 0.0000e+00
        535 27 May 2025 12:14:18     23.213    11.8745  35.014147     1.7567 6.8329e-01    281.426    100.799     23.000    30.2738    22.9445    1491.13 0.0000e+00
        543 27 May 2025 12:14:19     24.222    11.8103  35.072274     1.8147 5.6320e-01    281.632    100.898     24.000    30.3815    23.0397    1491.05 0.0000e+00
        550 27 May 2025 12:14:21     25.231    11.8005  35.131328     1.7711 4.2430e-01    281.647    100.901     25.000    30.4459    23.0914    1491.11 0.0000e+00
        557 27 May 2025 12:14:23     26.240    11.8141  35.194672     1.7884 2.8911e-01    281.856    100.967     26.000    30.4953    23.1273    1491.23 0.0000e+00
        565 27 May 2025 12:14:25     27.250    11.8109  35.210994     1.8016 2.2198e-01    281.610    100.898     27.000    30.5133    23.1418    1491.26 0.0000e+00
        572 27 May 2025 12:14:27     28.259    11.8054  35.215829     1.6728 1.8637e-01    281.776    101.165     28.000    30.5220    23.1496    1491.27 0.0000e+00
        580 27 May 2025 12:14:29     29.268    11.8013  35.232608     1.7018 1.6237e-01    283.338    101.825     29.000    30.5411    23.1652    1491.29 0.0000e+00
        587 27 May 2025 12:14:31     30.278    11.8349  35.366324     1.7318 1.2925e-01    282.372    101.438     30.000    30.6418    23.2372    1491.55 0.0000e+00
        595 27 May 2025 12:14:33     31.287    11.8859  35.485090     1.6969 1.0568e-01    282.020    101.299     31.000    30.7135    23.2837    1491.83 0.0000e+00
        603 27 May 2025 12:14:35     32.296    11.8626  35.544912     1.5994 6.9673e-02    282.514    101.466     32.000    30.7899    23.3472    1491.85 0.0000e+00
        611 27 May 2025 12:14:37     33.305    11.8472  35.548832     1.6657 6.6543e-02    282.339    101.389     33.000    30.8060    23.3625    1491.84 0.0000e+00
        619 27 May 2025 12:14:39     34.315    11.8422  35.546840     1.6131 5.4854e-02    282.166    101.264     34.000    30.8078    23.3649    1491.84 0.0000e+00
        627 27 May 2025 12:14:41     35.325    11.8361  35.542162     1.6134 5.3383e-02    281.568    101.006     35.000    30.8080    23.3661    1491.84 0.0000e+00
        635 27 May 2025 12:14:43     36.334    11.8121  35.526324     1.6825 5.3121e-02    281.410    100.908     36.000    30.8122    23.3737    1491.77 0.0000e+00
        644 27 May 2025 12:14:45     37.343    11.7818  35.516366     1.6226 5.3101e-02    281.066    100.756     37.000    30.8273    23.3909    1491.70 0.0000e+00
        652 27 May 2025 12:14:47     38.352    11.7629  35.506479     1.6188 5.3118e-02    281.632    100.942     38.000    30.8331    23.3988    1491.66 0.0000e+00
        660 27 May 2025 12:14:49     39.362    11.7441  35.497551     1.5884 5.3099e-02    281.688    100.944     39.000    30.8396    23.4073    1491.62 0.0000e+00
        668 27 May 2025 12:14:51     40.371    11.7340  35.494303     1.6013 5.3133e-02    281.477    100.861     40.000    30.8444    23.4129    1491.61 0.0000e+00
        677 27 May 2025 12:14:53     41.381    11.7249  35.490298     1.6420 5.3097e-02    281.130    100.728     41.000    30.8477    23.4171    1491.59 0.0000e+00
        686 27 May 2025 12:14:55     42.390    11.7184  35.491327     1.6140 5.3096e-02    281.150    100.727     42.000    30.8537    23.4230    1491.60 0.0000e+00
        696 27 May 2025 12:14:58     43.399    11.7106  35.496143     1.5750 5.3117e-02    280.971    100.661     43.000    30.8644    23.4327    1491.60 0.0000e+00
        714 27 May 2025 12:15:02     44.409    11.6972  35.512413     1.5923 5.3093e-02    281.251    100.776     44.000    30.8909    23.4557    1491.60 0.0000e+00
        722 27 May 2025 12:15:04     43.399    11.7060  35.501010     1.7646 5.3086e-02    281.295    100.806     43.000    30.8730    23.4402    1491.59 0.0000e+00
        732 27 May 2025 12:15:07     42.390    11.7168  35.496138     1.8823 5.3097e-02    281.479    100.899     42.000    30.8597    23.4279    1491.60 0.0000e+00
        742 27 May 2025 12:15:09     41.381    11.7254  35.498783     1.6832 5.3092e-02    281.267    100.896     41.000    30.8555    23.4231    1491.61 0.0000e+00
        752 27 May 2025 12:15:12     40.371    11.7421  35.510753     1.7471 5.3123e-02    281.449    101.061     40.000    30.8535    23.4185    1491.64 0.0000e+00
        762 27 May 2025 12:15:14     39.362    11.7795  35.545418     1.7278 5.3088e-02    281.755    101.191     39.000    30.8564    23.4139    1491.76 0.0000e+00
        771 27 May 2025 12:15:17     38.352    11.8211  35.570682     1.5845 5.3138e-02    281.970    101.260     38.000    30.8466    23.3988    1491.88 0.0000e+00
        780 27 May 2025 12:15:19     37.343    11.8335  35.564772     1.6794 5.3126e-02    281.913    101.242     37.000    30.8311    23.3846    1491.88 0.0000e+00
        790 27 May 2025 12:15:21     36.334    11.8327  35.554389     1.6201 5.3190e-02    282.401    101.428     36.000    30.8222    23.3778    1491.86 0.0000e+00
        799 27 May 2025 12:15:23     35.324    11.8342  35.552672     1.7458 5.5711e-02    282.302    101.402     35.000    30.8197    23.3755    1491.84 0.0000e+00
        808 27 May 2025 12:15:26     34.315    11.8404  35.554421     1.7638 6.2815e-02    282.040    101.322     34.000    30.8166    23.3720    1491.84 0.0000e+00
        818 27 May 2025 12:15:28     33.306    11.8462  35.554880     1.7278 7.4787e-02    282.400    101.464     33.000    30.8126    23.3678    1491.84 0.0000e+00
        828 27 May 2025 12:15:31     32.296    11.8551  35.555187     1.6866 9.6855e-02    282.464    101.485     32.000    30.8060    23.3610    1491.85 0.0000e+00
        838 27 May 2025 12:15:33     31.287    11.8655  35.542613     1.7632 1.3193e-01    282.786    101.501     31.000    30.7856    23.3433    1491.84 0.0000e+00
        848 27 May 2025 12:15:36     30.278    11.8884  35.463591     1.7369 1.6721e-01    282.839    101.352     30.000    30.6912    23.2659    1491.79 0.0000e+00
        859 27 May 2025 12:15:38     29.268    11.8547  35.320117     1.7080 2.0513e-01    281.818    100.958     29.000    30.5815    23.1869    1491.53 0.0000e+00
        868 27 May 2025 12:15:41     28.259    11.8144  35.222530     1.8440 2.6298e-01    281.670    100.904     28.000    30.5211    23.1473    1491.30 0.0000e+00
        878 27 May 2025 12:15:43     27.250    11.8097  35.204276     1.7630 3.3258e-01    281.900    100.977     27.000    30.5078    23.1378    1491.25 0.0000e+00
        887 27 May 2025 12:15:46     26.241    11.8108  35.196831     1.7527 4.2802e-01    282.002    100.988     26.000    30.5001    23.1316    1491.23 0.0000e+00
        897 27 May 2025 12:15:48     25.231    11.8139  35.173129     1.8317 5.4531e-01    281.643    100.816     25.000    30.4751    23.1117    1491.19 0.0000e+00
        906 27 May 2025 12:15:50     24.222    11.8147  35.128871     1.9026 7.1373e-01    281.632    100.843     24.000    30.4324    23.0783    1491.12 0.0000e+00
        914 27 May 2025 12:15:52     23.212    11.8097  35.077435     1.7365 9.2290e-01    281.645    100.799     23.000    30.3873    23.0442    1491.04 0.0000e+00
        923 27 May 2025 12:15:55     22.203    11.8461  35.015213     1.7367 1.1932e+00    280.877    100.475     22.000    30.2984    22.9687    1491.04 0.0000e+00
        932 27 May 2025 12:15:57     21.194    11.8631  34.908606     1.8081 1.5666e+00    280.722    100.398     21.000    30.1826    22.8758    1490.95 0.0000e+00
        940 27 May 2025 12:15:59     20.185    11.8584  34.840844     1.8848 2.0482e+00    280.633    100.324     20.000    30.1218    22.8295    1490.84 0.0000e+00
        949 27 May 2025 12:16:01     19.175    11.8552  34.810924     1.7862 2.6931e+00    280.702    100.284     19.000    30.0961    22.8101    1490.78 0.0000e+00
        957 27 May 2025 12:16:03     18.166    11.8473  34.767686     1.8149 3.5773e+00    279.909     99.918     18.000    30.0613    22.7845    1490.70 0.0000e+00
        965 27 May 2025 12:16:05     17.157    11.8335  34.704511     1.8715 4.7094e+00    279.210     99.588     17.000    30.0122    22.7489    1490.58 0.0000e+00
        974 27 May 2025 12:16:07     16.148    11.8187  34.611049     1.9098 6.2339e+00    279.462     99.657     16.000    29.9349    22.6916    1490.41 0.0000e+00
        982 27 May 2025 12:16:09     15.138    11.8101  34.500489     1.8200 8.3043e+00    278.874     99.403     15.000    29.8362    22.6165    1490.25 0.0000e+00
        990 27 May 2025 12:16:11     14.129    11.8251  34.407431     1.9469 1.1121e+01    278.953     99.341     14.000    29.7354    22.5357    1490.17 0.0000e+00
        998 27 May 2025 12:16:13     13.120    11.8365  34.313745     1.9637 1.5164e+01    279.026     99.258     13.000    29.6369    22.4572    1490.07 0.0000e+00
       1006 27 May 2025 12:16:15     12.111    11.8419  34.164205     1.9359 2.0564e+01    279.229     99.265     12.000    29.4898    22.3422    1489.90 0.0000e+00
       1015 27 May 2025 12:16:17     11.101    11.8468  33.969894     2.2949 2.7636e+01    279.386     99.282     11.000    29.3005    22.1945    1489.67 0.0000e+00
       1023 27 May 2025 12:16:20     10.092    11.8648  33.800646     2.1990 3.7938e+01    279.151     99.167     10.000    29.1251    22.0553    1489.51 0.0000e+00
       1031 27 May 2025 12:16:22      9.083    11.8813  33.681184     2.3778 5.2875e+01    279.282     99.194      9.000    28.9986    21.9543    1489.40 0.0000e+00
       1039 27 May 2025 12:16:24      8.074    11.8873  33.610779     2.2800 7.4617e+01    279.200     99.151      8.000    28.9272    21.8978    1489.32 0.0000e+00
       1048 27 May 2025 12:16:26      7.064    11.8920  33.558164     2.5219 1.0284e+02    279.666     99.265      7.000    28.8737    21.8555    1489.25 0.0000e+00
       1056 27 May 2025 12:16:28      6.055    11.8969  33.518351     2.8110 1.4831e+02    280.463     99.491      6.000    28.8324    21.8226    1489.21 0.0000e+00
       1065 27 May 2025 12:16:30      5.046    11.9063  33.419021     2.8863 2.1194e+02    281.439     99.727      5.000    28.7309    21.7423    1489.10 0.0000e+00
       1073 27 May 2025 12:16:32      4.037    11.9191  33.286032     2.9592 3.0547e+02    282.865     99.850      4.000    28.5949    21.6346    1488.97 0.0000e+00
       1083 27 May 2025 12:16:34      3.028    11.9427  32.972265     3.1102 4.6210e+02    283.848     99.889      3.000    28.2792    21.3858    1488.66 0.0000e+00
       1093 27 May 2025 12:16:37      2.019    12.0127  32.030100     3.1996 7.9212e+02    284.990    100.077      2.000    27.3360    20.6429    1487.76 0.0000e+00
       1105 27 May 2025 12:16:40      1.009    12.0949  31.304682     2.8934 1.3147e+03    289.740     96.221      1.000    26.5942    20.0542    1487.15 0.0000e+00
