Secchi Depth (cm) = 0386
Forel Ule Scale = 17
pH Colour Scale = 99
SensingSecchi S/N = A005
Latitude (degs N) = 56.45633
Longitude (degs E) = -5.18693
Date = 2405141053
Millisecond since start, Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR
643, 991.10, 16.43, 34, 46, 61, 73, 79, 93, 112, 142, 508, 273
1094, 991.00, 16.44, 34, 45, 60, 73, 78, 93, 112, 142, 506, 272
1441, 991.00, 16.45, 34, 46, 61, 73, 79, 94, 113, 143, 510, 273
1786, 991.20, 16.46, 34, 46, 62, 74, 80, 95, 114, 144, 509, 273
2131, 990.90, 16.47, 34, 46, 61, 73, 79, 93, 112, 143, 503, 270
2478, 991.10, 16.47, 33, 45, 60, 72, 77, 91, 109, 139, 494, 265
2825, 991.10, 16.48, 33, 44, 58, 70, 75, 89, 107, 136, 485, 262
3172, 991.10, 16.48, 32, 43, 57, 69, 74, 88, 106, 135, 479, 259
3614, 991.10, 16.48, 32, 43, 57, 69, 72, 86, 103, 133, 458, 245
3961, 991.00, 16.48, 25, 35, 47, 56, 64, 78, 92, 119, 366, 190
4306, 991.00, 16.49, 35, 46, 62, 79, 93, 114, 145, 173, 527, 291
4651, 990.90, 16.48, 86, 125, 163, 215, 757, 797, 1090, 1111, 2504, 1166
4996, 989.80, 16.46, 292, 415, 557, 703, 915, 1024, 1215, 1376, 5313, 2498
5343, 990.10, 16.47, 1373, 2221, 2982, 3742, 1253, 1387, 1591, 1929, 4867, 2296
5688, 989.70, 16.43, 1219, 1794, 2432, 2982, 1340, 1493, 1804, 2038, 7059, 3213
6034, 990.20, 16.45, 1055, 1507, 2066, 2472, 1334, 1458, 1748, 2028, 5726, 2513
6380, 989.70, 16.46, 548, 794, 1081, 1335, 1217, 1330, 1675, 1850, 5136, 2344
6724, 990.60, 16.46, 519, 743, 1020, 1251, 2576, 2727, 3359, 3725, 16816, 7388
7069, 989.60, 16.45, 793, 1099, 1553, 1856, 1900, 2139, 2540, 2877, 10732, 4797
7419, 989.90, 16.46, 629, 913, 1236, 1499, 1407, 1492, 1845, 2079, 5023, 2157
7766, 989.90, 16.44, 787, 1189, 1581, 1974, 1949, 2080, 2457, 2899, 7911, 3167
8113, 990.90, 16.43, 575, 860, 1158, 1404, 1944, 2151, 2609, 2954, 8207, 3603
8459, 990.40, 16.45, 1036, 1493, 2054, 2496, 2080, 2252, 2760, 3136, 11737, 5264
8812, 990.10, 16.42, 1303, 1942, 2684, 3214, 3877, 4173, 5044, 5719, 22743, 9873
9159, 989.60, 16.42, 1763, 2729, 3736, 4518, 3926, 4175, 5105, 5703, 23054, 10106
9508, 989.50, 16.41, 1542, 2327, 3219, 3869, 3598, 3780, 4687, 5137, 20674, 9204
9855, 988.50, 16.39, 1646, 2466, 3430, 4112, 4143, 4353, 5392, 5942, 24590, 11076
10202, 988.40, 16.39, 1814, 2700, 3744, 4468, 4593, 4890, 5913, 6657, 26205, 11546
10547, 988.70, 16.39, 1813, 2685, 3728, 4434, 4668, 5052, 5976, 6842, 25733, 10989
10893, 989.00, 16.40, 1730, 2540, 3524, 4201, 4402, 4837, 5650, 6502, 22877, 9400
11240, 988.70, 16.39, 1587, 2335, 3227, 3883, 4083, 4498, 5265, 6008, 20125, 8141
11591, 989.00, 16.39, 1542, 2277, 3136, 3806, 4077, 4496, 5264, 5999, 19567, 7869
11936, 988.80, 16.39, 1564, 2315, 3186, 3876, 4147, 4579, 5366, 6110, 19686, 7864
12281, 991.70, 16.43, 1410, 2092, 2873, 3505, 4759, 5257, 6090, 6971, 21626, 7863
12625, 992.40, 16.36, 1698, 2485, 3467, 4130, 4726, 5220, 6049, 6953, 23815, 8070
12972, 996.30, 16.27, 1768, 2714, 3777, 4535, 5122, 5658, 6546, 7629, 27392, 7213
13317, 997.90, 16.18, 1716, 2681, 3843, 4574, 4293, 4561, 5498, 6194, 24534, 6470
13663, 1002.80, 16.11, 1438, 2263, 3249, 3888, 4638, 4891, 5925, 6604, 26740, 6012
14012, 1010.20, 16.05, 1514, 2585, 3739, 4631, 4779, 4949, 6048, 6632, 24241, 4129
14359, 1014.70, 16.00, 1076, 1840, 2715, 3470, 3905, 4058, 4992, 5399, 20846, 3210
14706, 1015.70, 15.95, 1229, 2184, 3215, 4232, 4842, 4889, 6220, 6461, 23396, 3403
15053, 1022.70, 15.91, 1086, 1967, 2832, 3736, 3988, 4122, 5127, 5447, 21202, 3006
15400, 1030.20, 15.86, 784, 1368, 2092, 2828, 3991, 4153, 5031, 5305, 19510, 2274
15745, 1033.30, 15.82, 967, 1793, 2764, 3841, 4212, 4360, 5347, 5505, 16399, 1588
16092, 1041.40, 15.79, 877, 1614, 2527, 3476, 3381, 3506, 4266, 4425, 16993, 1800
16439, 1048.30, 15.75, 654, 1200, 1931, 2658, 3565, 3691, 4427, 4575, 15966, 1576
16786, 1052.20, 15.73, 750, 1420, 2361, 3332, 3843, 3969, 4738, 4810, 15485, 1384
17132, 1053.10, 15.70, 651, 1238, 2052, 2930, 3518, 3683, 4387, 4471, 13535, 1154
17478, 1059.80, 15.68, 654, 1244, 2053, 2915, 3395, 3526, 4194, 4280, 14436, 1263
17824, 1065.60, 15.66, 569, 1076, 1823, 2637, 3287, 3449, 3989, 4080, 13677, 1194
18172, 1068.90, 15.64, 603, 1136, 1979, 2896, 3328, 3533, 4020, 4108, 11831, 968
18517, 1075.10, 15.63, 548, 1019, 1798, 2607, 3089, 3295, 3677, 3825, 10817, 877
18861, 1080.70, 15.61, 480, 898, 1585, 2321, 2916, 3115, 3424, 3611, 10354, 848
19208, 1084.60, 15.60, 507, 935, 1702, 2472, 3128, 3352, 3574, 3841, 9591, 769
19554, 1089.30, 15.59, 493, 902, 1703, 2440, 2985, 3137, 3349, 3614, 8531, 696
19901, 1091.20, 15.58, 423, 761, 1447, 2043, 2604, 2687, 2886, 3104, 6906, 567
20249, 1095.40, 15.58, 374, 692, 1316, 1897, 2493, 2561, 2812, 2947, 6204, 510
20596, 1101.30, 15.58, 361, 678, 1297, 1904, 2308, 2365, 2617, 2680, 5179, 416
20941, 1106.00, 15.57, 289, 538, 1055, 1586, 2199, 2226, 2493, 2499, 4299, 343
21286, 1110.00, 15.57, 303, 579, 1138, 1744, 2197, 2211, 2540, 2493, 4088, 314
21632, 1115.10, 15.56, 277, 534, 1046, 1610, 2110, 2125, 2420, 2372, 3522, 266
21978, 1119.00, 15.56, 250, 469, 946, 1489, 2029, 2040, 2326, 2230, 3122, 238
22324, 1123.20, 15.56, 253, 476, 976, 1550, 2068, 2098, 2383, 2259, 3578, 263
22671, 1129.00, 15.55, 261, 502, 1030, 1632, 2145, 2175, 2437, 2334, 3916, 286
23018, 1133.10, 15.54, 229, 430, 890, 1428, 1885, 1892, 2128, 2051, 2791, 213
23364, 1136.30, 15.53, 212, 387, 817, 1318, 1794, 1802, 1993, 1932, 2763, 217
23710, 1138.80, 15.52, 218, 403, 855, 1372, 1944, 1963, 2149, 2076, 3619, 280
24056, 1144.90, 15.51, 244, 465, 988, 1583, 2295, 2286, 2512, 2404, 5268, 409
24401, 1151.80, 15.49, 250, 465, 1023, 1618, 2010, 2040, 2144, 2106, 4397, 352
24749, 1156.50, 15.46, 205, 362, 808, 1308, 1979, 2024, 2052, 2043, 4376, 344
25096, 1164.20, 15.43, 246, 437, 994, 1608, 2293, 2353, 2421, 2367, 5470, 426
25443, 1170.00, 15.40, 241, 419, 943, 1557, 2207, 2320, 2320, 2264, 5896, 470
25788, 1177.00, 15.37, 227, 404, 925, 1589, 2157, 2228, 2277, 2140, 6617, 533
26136, 1180.60, 15.34, 229, 404, 929, 1626, 2269, 2375, 2423, 2238, 6388, 502
26481, 1183.80, 15.30, 228, 411, 945, 1665, 2429, 2516, 2608, 2363, 6361, 493
26828, 1189.70, 15.24, 244, 435, 1007, 1815, 2546, 2619, 2727, 2446, 5787, 450
27177, 1195.60, 15.20, 200, 368, 863, 1565, 2068, 2073, 2203, 1905, 6170, 488
27524, 1200.30, 15.12, 203, 376, 881, 1608, 2427, 2464, 2579, 2258, 5861, 458
27869, 1205.50, 15.02, 218, 390, 921, 1695, 2367, 2391, 2507, 2153, 6180, 486
28214, 1212.10, 14.93, 207, 373, 908, 1657, 2476, 2510, 2551, 2232, 6457, 510
28560, 1217.40, 14.85, 207, 373, 905, 1672, 2302, 2326, 2400, 2044, 6144, 482
28907, 1221.70, 14.76, 199, 357, 867, 1601, 2278, 2306, 2363, 2010, 6228, 492
29255, 1227.10, 14.67, 206, 365, 898, 1680, 2462, 2505, 2516, 2155, 5839, 457
29600, 1237.10, 14.59, 205, 355, 881, 1670, 2270, 2307, 2294, 1952, 5026, 392
29945, 1248.20, 14.50, 170, 295, 739, 1421, 2006, 2031, 2002, 1677, 4511, 353
30290, 1260.60, 14.41, 165, 259, 669, 1295, 1895, 1924, 1838, 1544, 3308, 254
30634, 1273.80, 14.32, 166, 256, 677, 1325, 2134, 2160, 2053, 1708, 4293, 332
30981, 1285.70, 14.23, 160, 265, 716, 1410, 1948, 1935, 1854, 1478, 5101, 407
31327, 1297.50, 14.10, 100, 156, 418, 850, 1082, 1090, 1053, 830, 4049, 345
31675, 1307.80, 14.00, 105, 169, 459, 943, 1468, 1473, 1358, 1059, 3072, 242
32022, 1321.90, 13.90, 125, 180, 504, 1040, 1786, 1774, 1619, 1269, 3072, 236
32368, 1332.60, 13.80, 135, 201, 571, 1196, 1876, 1866, 1669, 1304, 3551, 274
32714, 1343.70, 13.71, 119, 179, 520, 1098, 1612, 1583, 1403, 1055, 4046, 323
33058, 1353.90, 13.62, 97, 143, 414, 892, 1468, 1451, 1288, 960, 3543, 279
33403, 1365.50, 13.55, 92, 125, 369, 801, 1148, 1135, 971, 727, 1714, 131
33753, 1379.70, 13.48, 90, 118, 354, 769, 1310, 1287, 1103, 820, 1955, 149
34100, 1391.10, 13.41, 100, 138, 418, 923, 1411, 1378, 1142, 825, 3092, 244
34447, 1401.80, 13.35, 89, 121, 375, 840, 1368, 1337, 1104, 807, 2973, 232
34795, 1412.80, 13.30, 84, 109, 335, 745, 1175, 1153, 936, 684, 1953, 149
35140, 1425.70, 13.21, 70, 88, 276, 630, 1057, 1009, 841, 588, 1452, 110
35485, 1438.00, 13.16, 78, 99, 313, 718, 1247, 1199, 974, 676, 2321, 180
35831, 1449.50, 13.11, 72, 91, 293, 700, 1192, 1137, 905, 615, 2519, 198
36187, 1461.20, 13.06, 74, 93, 298, 697, 1091, 1043, 820, 570, 1822, 140
36536, 1473.00, 13.02, 59, 72, 234, 554, 862, 805, 637, 428, 1104, 83
36885, 1486.20, 12.98, 49, 57, 188, 452, 901, 840, 668, 440, 1188, 90
37233, 1498.90, 12.94, 62, 75, 246, 607, 1006, 950, 721, 465, 1984, 157
37580, 1510.10, 12.91, 59, 70, 232, 585, 1034, 972, 741, 477, 1857, 145
37929, 1522.60, 12.88, 58, 69, 229, 571, 950, 880, 665, 428, 1528, 118
38279, 1535.00, 12.87, 47, 54, 181, 453, 748, 687, 513, 329, 931, 70
38630, 1548.20, 12.84, 35, 37, 125, 319, 642, 583, 431, 271, 721, 54
38980, 1560.50, 12.81, 49, 55, 187, 486, 811, 750, 535, 324, 1594, 127
39328, 1573.70, 12.78, 40, 42, 147, 402, 767, 702, 492, 294, 1571, 125
39675, 1585.40, 12.74, 45, 49, 169, 449, 805, 742, 519, 320, 1257, 96
40022, 1596.30, 12.72, 39, 41, 140, 375, 676, 620, 428, 262, 879, 66
40369, 1608.60, 12.70, 32, 32, 112, 305, 556, 502, 345, 208, 617, 46
40718, 1620.00, 12.68, 40, 41, 145, 390, 740, 669, 451, 268, 1291, 100
41069, 1626.00, 12.66, 37, 39, 137, 381, 740, 670, 453, 268, 1182, 91
41418, 1627.70, 12.63, 38, 39, 138, 379, 721, 654, 441, 262, 1070, 82
41767, 1628.60, 12.61, 39, 40, 141, 387, 729, 662, 445, 264, 1106, 85
42123, 1631.10, 12.59, 37, 38, 132, 364, 680, 617, 416, 246, 910, 69
42470, 1640.80, 12.58, 35, 35, 122, 339, 642, 581, 392, 230, 820, 62
42816, 1653.80, 12.56, 35, 36, 126, 352, 666, 602, 391, 230, 1079, 83
43165, 1666.50, 12.55, 33, 33, 116, 329, 649, 582, 372, 217, 1107, 85
43515, 1673.70, 12.53, 32, 31, 110, 314, 584, 527, 336, 196, 777, 59
43861, 1684.30, 12.51, 30, 29, 104, 296, 547, 495, 307, 180, 778, 59
44210, 1700.10, 12.48, 28, 27, 97, 279, 579, 516, 323, 184, 830, 63
44558, 1713.60, 12.43, 25, 24, 86, 257, 445, 396, 240, 129, 731, 56
44906, 1717.10, 12.41, 27, 26, 92, 273, 525, 459, 290, 160, 655, 49
45254, 1716.60, 12.39, 27, 26, 92, 273, 561, 492, 309, 170, 791, 60
45602, 1716.60, 12.38, 27, 26, 94, 278, 554, 486, 307, 168, 755, 57
45950, 1715.80, 12.37, 27, 26, 93, 275, 552, 484, 306, 168, 750, 57
46300, 1714.20, 12.37, 27, 26, 92, 273, 546, 479, 304, 167, 730, 55
46649, 1709.50, 12.37, 27, 26, 93, 275, 552, 484, 309, 169, 735, 56
46997, 1700.40, 12.37, 26, 26, 91, 268, 533, 467, 302, 167, 669, 50
47343, 1694.40, 12.36, 26, 26, 91, 265, 545, 476, 307, 172, 665, 50
47690, 1682.70, 12.36, 28, 27, 95, 274, 554, 487, 313, 180, 677, 52
48037, 1675.80, 12.35, 31, 31, 111, 317, 662, 578, 378, 213, 966, 74
48384, 1668.50, 12.34, 31, 32, 112, 322, 645, 564, 373, 210, 878, 67
48734, 1660.10, 12.32, 33, 34, 121, 345, 671, 590, 396, 224, 914, 69
49083, 1655.80, 12.31, 32, 34, 118, 334, 652, 575, 389, 221, 811, 61
49432, 1645.60, 12.29, 32, 34, 117, 329, 633, 561, 379, 219, 726, 54
49779, 1639.00, 12.27, 33, 34, 118, 329, 681, 605, 413, 238, 838, 63
50126, 1628.80, 12.26, 35, 37, 128, 355, 684, 609, 419, 244, 813, 61
