       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        301 27 May 2025 08:37:41      0.741    12.1897  22.985819     3.5887 2.4055e+02    289.894     97.329      0.735    18.8895    14.0830    1478.34 0.0000e+00
        302 27 May 2025 08:37:42      0.735    12.1894  22.986176     3.6212 2.5416e+02    289.846     97.312      0.728    18.8900    14.0834    1478.34 0.0000e+00
        303 27 May 2025 08:37:42      0.728    12.1890  22.986584     3.6135 2.4829e+02    290.032     97.375      0.721    18.8906    14.0839    1478.33 0.0000e+00
        304 27 May 2025 08:37:42      0.722    12.1888  22.986938     3.5163 2.7315e+02    289.943     97.346      0.716    18.8910    14.0843    1478.33 0.0000e+00
        305 27 May 2025 08:37:42      0.720    12.1889  22.987144     3.5277 2.6171e+02    290.058     97.385      0.713    18.8912    14.0844    1478.33 0.0000e+00
        306 27 May 2025 08:37:42      0.720    12.1890  22.987316     3.5220 2.4646e+02    289.924     97.340      0.714    18.8912    14.0844    1478.34 0.0000e+00
        307 27 May 2025 08:37:42      0.721    12.1892  22.987587     3.5411 2.3530e+02    289.953     97.349      0.715    18.8914    14.0845    1478.34 0.0000e+00
        308 27 May 2025 08:37:43      0.721    12.1892  22.987970     3.4285 2.5085e+02    289.988     97.359      0.714    18.8917    14.0848    1478.34 0.0000e+00
        309 27 May 2025 08:37:43      0.718    12.1891  22.988495     3.3923 2.3815e+02    290.163     97.418      0.712    18.8922    14.0852    1478.34 0.0000e+00
        310 27 May 2025 08:37:43      0.715    12.1892  22.989174     3.4113 2.7447e+02    290.259     97.449      0.709    18.8928    14.0856    1478.34 0.0000e+00
        311 27 May 2025 08:37:43      0.713    12.1893  22.990057     3.5678 2.7736e+02    290.301     97.464      0.706    18.8936    14.0862    1478.34 0.0000e+00
        312 27 May 2025 08:37:43      0.712    12.1895  22.991354     3.5411 2.5140e+02    290.496     97.530      0.706    18.8946    14.0870    1478.34 0.0000e+00
        313 27 May 2025 08:37:45      0.713    12.1897  22.993155     3.3026 2.4640e+02    290.483     97.525      0.707    18.8961    14.0881    1478.34 0.0000e+00
        314 27 May 2025 08:37:45      0.715    12.1900  22.995207     3.3179 2.5667e+02    290.489     97.527      0.708    18.8979    14.0894    1478.35 0.0000e+00
        315 27 May 2025 08:37:45      0.716    12.1902  22.997223     3.4133 2.4055e+02    290.297     97.462      0.709    18.8996    14.0907    1478.35 0.0000e+00
        316 27 May 2025 08:37:45      0.716    12.1904  22.999197     3.3923 2.1885e+02    290.411     97.499      0.709    18.9012    14.0919    1478.35 0.0000e+00
        317 27 May 2025 08:37:45      0.715    12.1905  23.000971     3.4495 2.6696e+02    290.330     97.474      0.709    18.9028    14.0931    1478.35 0.0000e+00
        318 27 May 2025 08:37:46      0.715    12.1907  23.002251     3.4285 2.5853e+02    290.431     97.508      0.708    18.9038    14.0939    1478.36 0.0000e+00
        319 27 May 2025 08:37:46      0.715    12.1908  23.003042     3.4171 2.6234e+02    290.402     97.499      0.708    18.9045    14.0944    1478.36 0.0000e+00
        320 27 May 2025 08:37:46      0.715    12.1909  23.003490     3.4113 2.3945e+02    290.329     97.474      0.709    18.9049    14.0946    1478.36 0.0000e+00
        321 27 May 2025 08:37:46      0.716    12.1909  23.003857     3.4724 2.4780e+02    290.100     97.396      0.709    18.9052    14.0949    1478.36 0.0000e+00
        322 27 May 2025 08:37:46      0.716    12.1910  23.004259     3.4876 2.5589e+02    290.241     97.445      0.709    18.9055    14.0951    1478.36 0.0000e+00
        323 27 May 2025 08:37:47      0.716    12.1910  23.004429     3.3255 2.4155e+02    290.247     97.451      0.709    18.9057    14.0953    1478.36 0.0000e+00
        324 27 May 2025 08:37:47      0.716    12.1910  23.004177     3.3122 2.4501e+02    290.226     97.445      0.709    18.9054    14.0951    1478.36 0.0000e+00
        325 27 May 2025 08:37:47      0.716    12.1910  23.003666     3.4266 2.5943e+02    290.211     97.440      0.710    18.9050    14.0947    1478.36 0.0000e+00
        326 27 May 2025 08:37:47      0.716    12.1909  23.003117     3.4056 2.5583e+02    290.152     97.419      0.710    18.9045    14.0944    1478.36 0.0000e+00
        327 27 May 2025 08:37:47      0.716    12.1908  23.002565     3.3255 2.3716e+02    290.085     97.395      0.710    18.9041    14.0940    1478.36 0.0000e+00
        328 27 May 2025 08:37:47      0.717    12.1908  23.002033     3.3217 2.5074e+02    290.074     97.392      0.710    18.9036    14.0937    1478.36 0.0000e+00
        329 27 May 2025 08:37:48      0.717    12.1908  23.001661     3.3808 2.6545e+02    290.057     97.386      0.710    18.9032    14.0934    1478.36 0.0000e+00
        330 27 May 2025 08:37:48      0.717    12.1908  23.001486     3.3808 2.3413e+02    289.895     97.330      0.711    18.9031    14.0933    1478.36 0.0000e+00
        331 27 May 2025 08:37:48      0.717    12.1908  23.001463     3.2874 2.4775e+02    289.948     97.348      0.710    18.9031    14.0933    1478.36 0.0000e+00
        332 27 May 2025 08:37:48      0.717    12.1907  23.001543     3.2836 2.6063e+02    289.937     97.344      0.710    18.9032    14.0934    1478.36 0.0000e+00
        333 27 May 2025 08:37:48      0.716    12.1906  23.001665     3.1710 2.5184e+02    290.062     97.388      0.710    18.9033    14.0935    1478.36 0.0000e+00
        334 27 May 2025 08:37:50      0.717    12.1906  23.001844     3.1634 2.5594e+02    290.039     97.381      0.710    18.9035    14.0937    1478.36 0.0000e+00
        335 27 May 2025 08:37:50      0.718    12.1907  23.002083     3.1672 2.5179e+02    290.072     97.392      0.711    18.9037    14.0938    1478.36 0.0000e+00
        336 27 May 2025 08:37:50      0.718    12.1908  23.002325     3.1710 2.4303e+02    290.085     97.395      0.712    18.9039    14.0939    1478.36 0.0000e+00
