       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        229 27 May 2025 11:30:00      1.009    12.2563  27.374055     3.7035 3.8065e+02    248.380     85.865      1.000    22.8624    17.1418    1483.29 0.0000e+00
        349 27 May 2025 11:30:30      2.019    11.9775  32.129029     3.5001 1.8539e+02    269.863     95.405      2.000    27.4527    20.7393    1487.78 0.0000e+00
        356 27 May 2025 11:30:32      3.028    11.9518  32.454178     3.1507 1.1410e+02    269.575     95.341      3.000    27.7810    20.9982    1488.09 0.0000e+00
        365 27 May 2025 11:30:34      4.037    11.9510  32.540636     3.2052 7.5733e+01    270.139     95.579      4.000    27.8631    21.0620    1488.21 0.0000e+00
        374 27 May 2025 11:30:36      5.046    11.9527  32.663199     3.0063 4.9838e+01    270.068     95.607      5.000    27.9777    21.1505    1488.36 0.0000e+00
        383 27 May 2025 11:30:38      6.055    11.9550  32.730743     3.2977 3.3508e+01    270.719     95.900      6.000    28.0395    21.1980    1488.46 0.0000e+00
        390 27 May 2025 11:30:40      7.064    11.9571  32.798850     3.1398 2.2824e+01    271.450     96.182      7.000    28.1022    21.2462    1488.56 0.0000e+00
        398 27 May 2025 11:30:42      8.074    11.9612  32.901854     3.0803 1.5576e+01    271.243     96.118      8.000    28.1964    21.3185    1488.71 0.0000e+00
        405 27 May 2025 11:30:44      9.083    11.9630  32.939290     3.0630 1.0824e+01    271.878     96.348      9.000    28.2302    21.3444    1488.77 0.0000e+00
        412 27 May 2025 11:30:46     10.092    11.9648  32.965682     2.9148 7.6921e+00    271.181     96.116     10.000    28.2536    21.3622    1488.82 0.0000e+00
        419 27 May 2025 11:30:48     11.102    11.9653  32.973837     2.8704 5.4714e+00    271.216     96.283     11.000    28.2605    21.3674    1488.84 0.0000e+00
        426 27 May 2025 11:30:49     12.110    11.9659  32.986544     2.9369 3.9151e+00    272.457     96.965     12.000    28.2717    21.3761    1488.88 0.0000e+00
        433 27 May 2025 11:30:51     13.120    11.9711  33.079954     2.7728 2.8027e+00    276.221     98.451     13.000    28.3560    21.4405    1489.01 0.0000e+00
        440 27 May 2025 11:30:53     14.129    11.9888  33.434345     2.4820 2.0607e+00    277.299     98.842     14.000    28.6786    21.6873    1489.47 0.0000e+00
        448 27 May 2025 11:30:55     15.138    12.0028  33.705379     2.2647 1.5097e+00    277.553     99.025     15.000    28.9251    21.8758    1489.83 0.0000e+00
        455 27 May 2025 11:30:57     16.148    12.0023  33.841918     2.0862 1.1118e+00    278.101     99.395     16.000    29.0549    21.9765    1490.00 0.0000e+00
        462 27 May 2025 11:30:58     17.157    12.0067  33.914837     2.1490 8.1617e-01    279.048     99.783     17.000    29.1205    22.0265    1490.11 0.0000e+00
        470 27 May 2025 11:31:00     18.166    12.0440  34.048765     2.0232 6.1084e-01    278.199     99.482     18.000    29.2184    22.0957    1490.37 0.0000e+00
        477 27 May 2025 11:31:02     19.175    12.0889  34.133293     2.1302 4.5418e-01    278.380     99.551     19.000    29.2633    22.1225    1490.60 0.0000e+00
        485 27 May 2025 11:31:04     20.185    12.0945  34.139498     1.9984 3.4358e-01    278.568     99.650     20.000    29.2644    22.1223    1490.64 0.0000e+00
        492 27 May 2025 11:31:06     21.194    12.0953  34.143062     1.9332 2.6124e-01    278.573     99.687     21.000    29.2668    22.1240    1490.66 0.0000e+00
        500 27 May 2025 11:31:08     22.203    12.0999  34.161085     2.1891 1.9450e-01    278.506     99.679     22.000    29.2799    22.1334    1490.71 0.0000e+00
        507 27 May 2025 11:31:09     23.212    12.1134  34.190053     2.0268 1.5642e-01    278.353     99.628     23.000    29.2965    22.1438    1490.79 0.0000e+00
        514 27 May 2025 11:31:11     24.222    12.1215  34.203345     1.9456 1.1921e-01    278.172     99.568     24.000    29.3024    22.1469    1490.84 0.0000e+00
        521 27 May 2025 11:31:13     25.231    12.1257  34.209275     1.9309 8.5352e-02    278.460     99.675     25.000    29.3044    22.1478    1490.88 0.0000e+00
        529 27 May 2025 11:31:15     26.240    12.1265  34.211503     1.9163 6.1604e-02    278.674     99.763     26.000    29.3054    22.1485    1490.90 0.0000e+00
        536 27 May 2025 11:31:17     27.250    12.1287  34.215165     1.8394 5.6549e-02    278.565     99.727     27.000    29.3069    22.1492    1490.92 0.0000e+00
        543 27 May 2025 11:31:19     28.259    12.1312  34.222016     2.0104 5.3036e-02    278.561     99.735     28.000    29.3110    22.1520    1490.95 0.0000e+00
        551 27 May 2025 11:31:20     29.268    12.1338  34.226262     1.8819 5.3148e-02    278.378     99.679     29.000    29.3127    22.1528    1490.98 0.0000e+00
        558 27 May 2025 11:31:22     30.278    12.1356  34.231585     1.8938 5.3093e-02    278.483     99.737     30.000    29.3159    22.1550    1491.01 0.0000e+00
        566 27 May 2025 11:31:24     31.287    12.1396  34.239757     1.8237 5.3107e-02    278.612     99.808     31.000    29.3201    22.1576    1491.04 0.0000e+00
        574 27 May 2025 11:31:26     32.296    12.1439  34.255904     1.8139 5.3130e-02    279.025     99.971     32.000    29.3317    22.1658    1491.09 0.0000e+00
        582 27 May 2025 11:31:28     33.306    12.1513  34.275618     1.8689 5.3101e-02    278.880     99.949     33.000    29.3442    22.1742    1491.15 0.0000e+00
        589 27 May 2025 11:31:30     34.315    12.1589  34.288952     1.9063 5.3071e-02    278.925    100.016     34.000    29.3506    22.1778    1491.20 0.0000e+00
