       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        339 28 May 2025 10:39:27      1.009    11.4877   5.996149     6.3746 2.3114e+02    329.023    102.123      1.000     4.5343     3.0822    1458.61 0.0000e+00
        378 28 May 2025 10:39:36      2.018    12.4009  17.552378     8.5752 5.7958e+01    296.941    103.201      2.000    13.9964    10.2725    1473.30 0.0000e+00
        389 28 May 2025 10:39:39      3.028    13.1732  23.858997     9.0072 2.0559e+01    284.460    101.120      3.000    19.1713    14.1373    1482.16 0.0000e+00
        399 28 May 2025 10:39:42      4.037    13.3026  26.742025     7.7447 9.2401e+00    276.839    100.683      4.000    21.6543    16.0273    1485.54 0.0000e+00
        410 28 May 2025 10:39:44      5.046    13.6886  30.006080     4.9086 4.8976e+00    276.847    100.958      5.000    24.3319    18.0189    1490.01 0.0000e+00
        421 28 May 2025 10:39:47      6.055    14.1177  31.819614     3.1732 3.0276e+00    256.879     91.529      6.000    25.6737    18.9706    1493.04 0.0000e+00
        432 28 May 2025 10:39:50      7.064    13.5874  31.939564     2.8084 2.1190e+00    236.884     83.442      7.000    26.1385    19.4297    1491.82 0.0000e+00
        443 28 May 2025 10:39:52      8.074    12.4708  31.511762     2.5504 1.5509e+00    223.274     78.261      8.000    26.5194    19.9298    1488.48 0.0000e+00
        454 28 May 2025 10:39:55      9.083    11.9892  31.363864     3.3492 1.1311e+00    208.873     73.083      9.000    26.7223    20.1719    1487.06 0.0000e+00
        466 28 May 2025 10:39:58     10.092    11.8306  31.471499     3.6694 8.2082e-01    181.357     63.085     10.000    26.9374    20.3660    1486.78 0.0000e+00
        477 28 May 2025 10:40:01     11.101    11.5980  31.413603     4.7886 5.8364e-01    158.875     55.049     11.000    27.0509    20.4940    1486.11 0.0000e+00
        488 28 May 2025 10:40:04     12.111    11.3520  31.295268     6.7357 4.1578e-01    148.977     51.302     12.000    27.1173    20.5872    1485.34 0.0000e+00
        499 28 May 2025 10:40:06     13.120    11.1608  31.164204     8.8676 2.9968e-01    190.546     65.202     13.000    27.1316    20.6303    1484.69 0.0000e+00
        510 28 May 2025 10:40:09     14.129    10.8456  30.927057     8.1730 2.0794e-01    232.218     79.398     14.000    27.1347    20.6847    1483.58 0.0000e+00
        520 28 May 2025 10:40:12     15.138    10.6170  30.840918     5.4253 1.4492e-01    238.751     81.841     15.000    27.2202    20.7882    1482.88 0.0000e+00
        531 28 May 2025 10:40:15     16.148    10.6157  30.917737     4.5723 9.5069e-02    239.875     82.365     16.000    27.2957    20.8471    1482.98 0.0000e+00
        542 28 May 2025 10:40:17     17.157    10.7166  31.057092     3.3604 6.7651e-02    243.292     83.668     17.000    27.3558    20.8775    1483.43 0.0000e+00
        553 28 May 2025 10:40:20     18.166    10.7796  31.145783     3.0166 5.4825e-02    242.923     83.649     18.000    27.3946    20.8975    1483.72 0.0000e+00
        563 28 May 2025 10:40:23     19.175    10.8344  31.218046     2.6739 5.3142e-02    242.747     83.676     19.000    27.4234    20.9109    1483.97 0.0000e+00
        573 28 May 2025 10:40:25     20.185    10.8829  31.280965     2.3240 5.3096e-02    241.644     83.337     20.000    27.4479    20.9220    1484.19 0.0000e+00
        583 28 May 2025 10:40:28     21.194    10.9204  31.323824     2.1156 5.3104e-02    242.289     83.660     21.000    27.4610    20.9261    1484.36 0.0000e+00
        593 28 May 2025 10:40:30     22.203    10.9434  31.356967     1.9923 5.3086e-02    243.481     84.130     22.000    27.4756    20.9336    1484.48 0.0000e+00
        603 28 May 2025 10:40:33     23.212    10.9924  31.421205     1.9815 5.3118e-02    243.523     84.178     23.000    27.5007    20.9451    1484.70 0.0000e+00
        613 28 May 2025 10:40:35     24.222    11.0156  31.443299     1.7287 5.3105e-02    243.428     84.241     24.000    27.5044    20.9441    1484.80 0.0000e+00
        623 28 May 2025 10:40:38     25.231    11.0366  31.476721     1.8216 5.3101e-02    242.679     84.052     25.000    27.5206    20.9532    1484.91 0.0000e+00
        633 28 May 2025 10:40:40     26.240    11.0799  31.530862     1.7439 5.3115e-02    242.515     84.054     26.000    27.5401    20.9612    1485.11 0.0000e+00
        643 28 May 2025 10:40:43     27.250    11.1153  31.577631     1.9512 5.3110e-02    242.260     83.998     27.000    27.5584    20.9695    1485.27 0.0000e+00
        653 28 May 2025 10:40:45     28.259    11.1415  31.607125     2.0925 5.3089e-02    241.776     83.862     28.000    27.5670    20.9718    1485.39 0.0000e+00
        664 28 May 2025 10:40:48     29.268    11.1571  31.626778     1.6455 5.3109e-02    241.761     83.873     29.000    27.5739    20.9745    1485.47 0.0000e+00
        674 28 May 2025 10:40:50     30.278    11.1723  31.645049     3.2736 5.3098e-02    241.535     83.798     30.000    27.5797    20.9766    1485.55 0.0000e+00
        685 28 May 2025 10:40:53     31.287    11.1778  31.649713     1.6098 5.3118e-02    241.648     83.828     31.000    27.5797    20.9757    1485.59 0.0000e+00
        696 28 May 2025 10:40:56     32.296    11.1782  31.649087     1.7911 5.3074e-02    241.528     83.781     32.000    27.5785    20.9746    1485.61 0.0000e+00
        706 28 May 2025 10:40:58     33.306    11.1736  31.642893     1.7697 5.3094e-02    241.632     83.824     33.000    27.5756    20.9732    1485.60 0.0000e+00
        716 28 May 2025 10:41:01     34.315    11.1723  31.642248     1.8007 5.3122e-02    241.188     83.694     34.000    27.5756    20.9734    1485.61 0.0000e+00
        726 28 May 2025 10:41:03     35.324    11.1767  31.651285     2.2468 5.3112e-02    240.604     83.494     35.000    27.5806    20.9766    1485.65 0.0000e+00
        737 28 May 2025 10:41:06     36.334    11.1868  31.663498     2.0554 5.3105e-02    239.202     83.019     36.000    27.5844    20.9779    1485.71 0.0000e+00
        747 28 May 2025 10:41:08     37.343    11.1883  31.666039     1.8992 5.3117e-02    239.358     83.091     37.000    27.5854    20.9784    1485.73 0.0000e+00
        757 28 May 2025 10:41:11     38.353    11.1952  31.676156     1.6642 5.3097e-02    241.070     83.724     38.000    27.5896    20.9806    1485.78 0.0000e+00
        768 28 May 2025 10:41:14     39.362    11.2054  31.691612     1.6546 5.3099e-02    241.386     83.854     39.000    27.5965    20.9842    1485.84 0.0000e+00
        778 28 May 2025 10:41:16     40.371    11.2241  31.715866     1.6996 5.3095e-02    240.802     83.670     40.000    27.6055    20.9881    1485.93 0.0000e+00
        789 28 May 2025 10:41:19     41.381    11.2318  31.724536     2.0481 5.3112e-02    240.346     83.537     41.000    27.6077    20.9885    1485.98 0.0000e+00
        799 28 May 2025 10:41:22     42.390    11.2433  31.741395     1.5440 5.3119e-02    238.622     82.944     42.000    27.6150    20.9922    1486.05 0.0000e+00
        817 28 May 2025 10:41:26     43.399    11.2550  31.753285     2.0830 5.3101e-02    239.029     83.069     43.000    27.6173    20.9921    1486.11 0.0000e+00
        832 28 May 2025 10:41:30     42.390    11.2506  31.744063     1.8978 5.3101e-02    240.731     83.634     42.000    27.6121    20.9888    1486.07 0.0000e+00
