       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        301 28 May 2025 09:25:32     -0.105    13.4643   0.529837     2.1410 1.5102e+03    333.357    102.311     -0.104     0.3333    -0.4217    1460.87 0.0000e+00
        302 28 May 2025 09:25:32     -0.104    13.4621   0.545101   123.8603 1.5615e+03    333.561    102.363     -0.103     0.3433    -0.4137    1460.87 0.0000e+00
        303 28 May 2025 09:25:32     -0.104    13.4598   0.553157   123.8546 1.5756e+03    333.555    102.353     -0.103     0.3485    -0.4093    1460.87 0.0000e+00
        304 28 May 2025 09:25:33     -0.104    13.4575   0.552951   123.8489 1.5483e+03    333.660    102.377     -0.103     0.3484    -0.4091    1460.86 0.0000e+00
        305 28 May 2025 09:25:33     -0.103    13.4551   0.545566   123.8394 1.5762e+03    333.642    102.365     -0.102     0.3436    -0.4125    1460.84 0.0000e+00
        306 28 May 2025 09:25:33     -0.103    13.4526   0.532946     2.2345 1.5375e+03    333.464    102.303     -0.102     0.3354    -0.4185    1460.83 0.0000e+00
        307 28 May 2025 09:25:33     -0.103    13.4502   0.516401     2.1162 1.5622e+03    333.703    102.369     -0.102     0.3247    -0.4265    1460.80 0.0000e+00
        308 28 May 2025 09:25:33     -0.103    13.4477   0.496953     2.1048 1.5308e+03    333.648    102.346     -0.102     0.3121    -0.4360    1460.78 0.0000e+00
        309 28 May 2025 09:25:35     -0.102    13.4453   0.475890     5.3874 1.5198e+03    333.785    102.382     -0.101     0.2985    -0.4463    1460.75 0.0000e+00
        310 28 May 2025 09:25:35     -0.102    13.4428   0.454434     5.3779 1.5574e+03    333.780    102.371     -0.101     0.2847    -0.4567    1460.73 0.0000e+00
        311 28 May 2025 09:25:35     -0.102    13.4403   0.433808     2.0171 1.5318e+03    333.792    102.365     -0.101     0.2714    -0.4667    1460.70 0.0000e+00
        312 28 May 2025 09:25:35     -0.102    13.4378   0.414628     2.0113 1.5076e+03    333.815    102.361     -0.101     0.2591    -0.4760    1460.68 0.0000e+00
        313 28 May 2025 09:25:35     -0.101    13.4353   0.396737     0.3214 1.5462e+03    333.947    102.392     -0.100     0.2476    -0.4846    1460.66 0.0000e+00
